annee_univ;num_semestre;id_module;coefficient
2017-2018;S1;M1104;3,5
2017-2018;S1;M1101;3,5
2017-2018;S1;M1102;3,5
2017-2018;S1;M1103;2,5
2017-2018;S1;M1105;2,5
2017-2018;S1;M1201;2,5
2017-2018;S1;M1202;2
2017-2018;S1;M1203;1,5
2017-2018;S1;M1204;2,5
2017-2018;S1;M1205;2
2017-2018;S1;M1206;1,5
2017-2018;S1;M1207;1
2017-2018;S1;M1106;1,5
2017-2018;S2;M2106;2,5
2017-2018;S2;M2102;1,5
2017-2018;S2;M2103;3,5
2017-2018;S2;M2104;2,5
2017-2018;S2;M2105;2,5
2017-2018;S2;M2107;2
2017-2018;S2;M2201;2,5
2017-2018;S2;M2202;2
2017-2018;S2;M2203;3
2017-2018;S2;M2204;1,5
2017-2018;S2;M2205;1,5
2017-2018;S2;M2206;2,5
2017-2018;S2;M2207;1
2017-2018;S2;M2101;1,5
2017-2018;S3GL;M3303;1
2017-2018;S3GL;M3301;3
2017-2018;S3GL;M3104;2,5
2017-2018;S3GL;M3106C;1,5
2017-2018;S3GL;M3101;2,5
2017-2018;S3GL;M3102;1,5
2017-2018;S3GL;M3103;1,5
2017-2018;S3GL;M3105;2,5
2017-2018;S3GL;M3201;2,5
2017-2018;S3GL;M3203;1,5
2017-2018;S3GL;M3204;2,5
2017-2018;S3GL;M3205;1,5
2017-2018;S3GL;M3206;2,5
2017-2018;S3GL;M3202C;1,5
2017-2018;S3GL;M3302;2
2017-2018;S4GL;M4103C;1,5
2017-2018;S4GL;M4106;2,5
2017-2018;S4GL;M4203;2
2017-2018;S4GL;M4204;2
2017-2018;S4GL;M4301;12
2017-2018;S4GL;M4101C;1,5
2017-2018;S4GL;M4201C;2
2017-2018;S4GL;M4202C;2
2017-2018;S4GL;M4104C;1,5
2017-2018;S4GL;M4102C;1,5
2017-2018;S4GL;M4105C;1,5
2017-2018;S4DS;M41OS1;1,5
2017-2018;S4DS;M41OS3;1,5
2017-2018;S4DS;M41OS2;1,5
2017-2018;S4DS;M4103C;1,5
2017-2018;S4DS;M4106;2,5
2017-2018;S4DS;M4101C;1,5
2017-2018;S4DS;M4203;2
2017-2018;S4DS;M4204;2
2017-2018;S4DS;M4301;12
2017-2018;S4DS;M4201C;2
2017-2018;S4DS;M4202C;2
2017-2018;S3DS;M3303;1
2017-2018;S3DS;M3301;3
2017-2018;S3DS;M3104;2,5
2017-2018;S3DS;M3106C;1,5
2017-2018;S3DS;M3101;2,5
2017-2018;S3DS;M3102;1,5
2017-2018;S3DS;M3103;1,5
2017-2018;S3DS;M3105;2,5
2017-2018;S3DS;M3201;2,5
2017-2018;S3DS;M3203;1,5
2017-2018;S3DS;M3204;2,5
2017-2018;S3DS;M3205;1,5
2017-2018;S3DS;M3206;2,5
2017-2018;S3DS;M3202C;1,5
2017-2018;S3DS;M3302;2
